id	dialog	joy	sadness	trust	disgust	fear	anger	surprise	anticipation
639	Of course, our flashlight.  What's your is mine, mi flashlight es su flashlight.	1	0	1	0	0	0	0	0
640	Gosh, I should have brought it. I can't believe I forgot that.	1	0	0	0	0	0	1	0
641	It's a nice moon though, should stay full.  Do they always run during a full moon?  I can't remember was it full last year?	0	1	0	0	1	0	0	0
642	Yeah.	1	0	1	0	0	0	0	0
643	No.	0	0	0	0	0	0	0	0
644	You know what we should've brought a blanket too.  Man, our blanket, our blanket.  Wish I had six-pack too, a six-pack would be just the ticket right about now, huh, six-pack.	0	0	0	0	0	1	0	0
645	What's wrong?  Are you okay?  Huh?  You cold?	0	0	0	0	1	1	1	0
646	I'm fine.	1	0	0	0	0	0	0	0
647	Oh yeah, I'm so excited right now I'm like a kid.	1	0	0	0	0	0	0	0
648	I wonder if they can hear me talk	1	0	0	0	0	0	1	0
649	Like feel the vibrations in the sand when we move around.	1	0	1	0	0	0	0	0
650	I'm cold.	0	0	0	1	0	0	0	0
651	Do you want my jacket?	0	0	0	0	0	0	0	0
652	There is no point.	0	0	0	1	0	1	0	0
653	That's my point.	0	0	0	0	0	0	0	0
654	Then let's go.	1	0	1	0	0	0	0	0
655	No, wait no, no that's not my point.  My point is there is no point and coming all the way down here if we just turn around and go home.	0	1	0	1	0	1	0	0
656	Not particularly.	0	0	0	0	0	0	0	0
657	Why not?	0	0	0	0	0	0	0	0
658	I just don't, it's stupid.	0	1	0	0	1	1	0	0
659	It's not stupid.  It's a natural phenomenon.	1	0	1	0	0	0	0	0
660	I don't know what you're so excited about.  This isn't a moon landing we're talking about, it's fish, it's a fish nobody even eats.	0	0	0	1	1	1	1	0
661	Yeah, they do.	1	0	1	0	0	0	0	0
662	Oh, Augie.	0	0	0	0	0	0	0	0
663	Well, okay whatever, okay but it's a fish who do something that like no other fish do, you know, it's like those swallows that return to Capistrano or those like those lemmings that jumped off the cliffs, you know.	0	1	0	1	1	1	0	0
664	It's like a little bit of the unexplainable, a little magic, a little mystery.  I just don't see how you can not be interested in this.	0	0	0	1	0	1	0	0
665	All right.	1	0	1	0	0	0	0	0
666	I don't get it though, I mean the first time we came here you said it was like the best night of your life...	1	0	0	0	0	0	1	0
667	And last year I remember like distinctively you were so excited to get here that you didn't realize you stubbed your toe until we were in a car.	1	0	0	0	0	0	1	0
668	Last year, you'll also remember we got--our shoes got wet, I got sand in my panties, you got a sore throat, we got into a big fight and we did not see the grunions.	0	1	0	1	1	1	0	0
669	We just weren't in a good spot though.	1	0	0	0	0	0	0	0
670	We didn't see them the year before either.	0	0	0	0	0	0	0	0
671	We just weren't in a good spot I'm telling you this is a much better spot.	1	0	0	0	0	0	1	0
672	Out there, there's like this big mass of silver fish they're heading this way...	1	0	0	0	0	0	0	0
673	They just all turned at once and they just form this line as long as the California coast.  And they just started swimming...	1	0	0	0	0	0	0	0
674	Like some little time release fire cracker went off inside their little tiny bodies.  And they all turned as one...	0	0	0	0	1	1	1	0
675	And form the line and started swimming, swimming that would bring them to this point here...	1	0	0	0	0	0	1	0
676	It's like urgency that's pure urge you know.  It's single-mindedness with no mind.	1	0	0	0	0	0	1	1
677	It's crazy.  Look at this, I'm giving myself goose bumps, the hairs are standing up on my arm.	0	1	0	1	1	0	0	0
678	That's the wind.	0	0	0	0	0	0	0	0
679	Maybe we should tell him before he sees it.	0	0	0	0	0	0	0	0
680	He saw it.	0	1	0	0	1	0	0	0
681	How could he see it?  I was the first one up; he was still in bed.	1	0	0	0	0	0	1	0
682	He was out here when it broke.	0	0	0	0	1	1	0	0
683	When?	0	0	0	0	0	0	0	0
684	Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.	0	1	0	1	1	0	0	0
685	I guess he is.	0	0	0	0	0	0	0	0
686	It's getting to be just like after he died.  What's the meaning of that?	1	0	0	0	0	0	1	0
687	What?	0	0	0	0	0	0	0	0
688	Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.	0	0	0	1	0	1	0	0
689	What do you mean dishonest?	0	0	0	1	0	1	0	0
690	What do you want to do?  Argue with him?	0	0	0	0	0	1	0	0
691	You can't say that to him.	0	0	0	0	0	0	0	0
692	Where's the proof?  Do you have any proof?	1	0	1	0	0	0	0	0
693	For God's sake, three years?  Nobody comes back after three years; that's insane.	0	0	0	1	0	1	0	0
694	To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?	1	0	0	0	0	0	1	0
695	It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--	1	0	0	0	0	0	1	0
696	All right, all right, all right.  You know why I asked Annie here, right?	0	1	0	1	1	1	0	0
697	Why?	0	0	0	0	0	1	0	0
698	You know.	0	0	0	0	0	0	0	0
699	Well I got an idea, but what's your story?	0	1	0	1	1	0	0	0
700	I'm going to ask her to marry me.	1	0	0	0	0	0	1	0
701	Well that's only your business, Chris.	1	0	0	0	0	0	0	1
702	Well what do you want me to do?  You're old enough to know your own mind.	0	0	0	1	0	0	0	0
703	Well you want to make sure that your father is not going to --	1	0	1	0	0	0	0	1
704	Then it's not just my business.	0	0	0	0	0	0	0	0
705	I'm just saying.	0	0	0	0	0	0	0	0
706	You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.	1	0	1	0	0	0	0	1
707	She's not Larry's girl.	0	0	0	0	0	0	0	0
708	From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.	1	0	0	0	0	0	0	1
709	Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.	1	0	0	0	0	0	1	0
710	You're a considerate fellow, there's nothing wrong in that.	1	0	1	0	0	0	0	0
711	To hell with that.	0	0	0	0	0	1	0	0
712	Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.	0	1	0	1	1	0	0	0
713	And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.	1	0	1	0	0	0	0	0
714	The trouble is you don't see enough women.  You never did.	0	1	0	0	0	0	0	0
715	Why does it have to be Annie?	0	1	0	1	1	1	0	0
716	Oh that's a great reason.  It's no reason at all.	0	0	0	1	0	1	0	0
717	I don't know.	0	0	0	0	0	0	0	0
718	I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.	0	1	0	1	1	1	0	0
719	I don't want a diagram.	1	0	1	0	0	0	0	0
720	He thinks he's coming back Chris.	0	1	0	0	1	0	0	0
721	You marry that girl, you are pronouncing him dead...	1	0	0	0	0	0	0	1
722	...and then what's that going to do to your father?  Do you know?  I don't.	0	0	0	0	0	0	0	0
723	All right, then, Mom. [BREATHING]	1	0	0	0	0	0	0	1
724	Just give it some more thought.	1	0	0	0	0	0	0	0
725	I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.	1	0	0	0	0	0	0	1
726	But if I can't do that here, I may have to go somewhere else.	0	0	0	0	0	0	0	0
727	What the hell is this?	0	0	0	0	0	1	0	0
728	I'll get out.  I'll get married and I'll move somewhere else, maybe New York.	1	0	0	0	0	0	1	0
729	Are you crazy?	0	0	0	1	0	0	0	0
730	I've been a good son for too long, a good sucker.	1	0	0	0	0	0	1	0
731	You have a business here.  What the hell is this?	0	0	0	0	0	1	0	0
732	Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.	1	0	0	0	0	0	0	0
733	I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.	1	0	0	0	0	0	1	1
734	You mean to tell me that you would leave the business over this?	0	0	0	0	0	0	0	0
735	On this, I would.	0	0	0	0	0	0	0	0
736	Well you don't want to think like that.	1	0	0	0	0	0	0	1
737	Then help me stay here.	0	1	0	0	1	0	1	0
738	All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.	0	0	0	0	1	1	0	0
739	Just don't think like that.	0	0	0	0	0	0	0	0
740	Well I am thinking like that.	1	0	0	0	0	0	0	1
741	I can see that.	0	0	0	0	0	0	0	0
742	Have you tried, uh, Craig's List?	0	0	0	0	0	0	0	0
743	Uh, what?  Craig's List?  Oh the internet thing?	0	0	0	0	0	0	0	0
744	Yeah.	1	0	1	0	0	0	0	0
745	No.  There's regular jobs on there.	1	0	0	0	0	0	0	1
746	I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.	1	0	1	0	0	0	0	0
747	Uh huh.	0	0	0	0	0	1	0	0
748	I'm just saying I have a friend that got a good job on it so I was just recommending it.	1	0	1	0	0	0	0	0
749	He's like a manager for a theatre.	1	0	0	0	0	0	1	0
750	Really?	0	0	0	0	0	0	0	0
751	you know what?  I heard about that job.  I applied for that.	1	0	1	0	0	0	0	0
752	You did?	0	0	0	0	0	0	0	0
753	Yeah.  I saw a posting at the theatre.	0	1	0	0	1	0	0	0
754	Yeah.	1	0	1	0	0	0	0	0
755	He got it?	1	0	1	0	0	0	0	0
756	You've been looking for a job for a long time; that was a long time ago.  Right?	1	0	0	0	0	0	1	0
757	It's kind of helpful when getting a job.	1	0	0	0	0	0	0	1
758	I just- I mean I call people up and I tell them what I'm good at.	1	0	0	0	0	0	0	0
759	Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.	1	0	1	0	0	0	0	1
760	Yeah.	1	0	1	0	0	0	0	0
761	I don't like- I don't like sending things in the mail.  I don't want my information out there.	1	0	0	0	0	0	1	0
762	No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--	0	0	0	0	0	0	0	0
763	I'm there in front of them.  I'm telling them what I'm good at.	1	0	0	0	0	0	0	0
764	Yeah.  But the piece of paper helps, too.	1	0	0	0	0	0	0	0
765	Why?  It's a piece of paper.	0	0	0	0	0	1	0	0
766	I know.  Okay.  Well, um. Maybe--	1	0	0	0	0	0	0	1
767	It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...	0	0	0	0	1	1	0	0
768	Yeah.	1	0	1	0	0	0	0	0
769	Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.	1	0	0	0	0	0	0	1
770	Please.	0	0	0	0	0	0	0	0
771	maybe get a car.	0	0	0	0	0	0	0	0
772	you think that you're better than me because I don't have a car?	1	0	0	0	0	0	1	0
773	I didn't say that.	0	0	0	0	0	0	0	0
774	You know, you're riding the bus, too.	1	0	0	0	0	0	1	0
775	I am riding the bus, but by choice.	1	0	0	0	0	0	0	0
776	You're saving the environment. mmhmm	1	0	1	0	0	0	1	0
777	Yes.  One less car at a time.	0	0	0	1	0	0	0	0
778	Mmhmm.	0	0	0	0	0	0	0	0
779	I'm not frustrated.	1	0	1	0	0	0	0	0
780	...you can't get a job and refuse to have a resume.	0	1	0	1	0	0	0	0
781	I don't think I'm anyone.	0	0	0	0	0	0	0	0
782	You are so high and mighty.  I just--	1	0	0	0	0	0	0	0
783	I- I-I didn't-- okay.	0	0	0	0	0	1	0	0
784	Oh.  I'm saving the environment. I'm riding this car because I- I want to.	1	0	0	0	0	0	1	0
785	What?  No.	0	0	0	0	0	0	0	0
786	What? Oh.  So now you're...	0	0	0	0	0	0	0	0
787	I can not-- you are not here by choice.  Nobody would ride this bus by choice.	0	0	0	1	0	1	0	0
788	Why not?	0	0	0	0	0	0	0	0
789	Yeah. This is the fourth line that I have been in.	1	0	1	0	0	0	0	0
790	Can I help you?	1	0	0	0	0	0	0	0
791	Uh huh.	0	0	0	0	0	1	0	0
792	I need my bag.	0	0	0	0	0	0	0	0
793	Okay.	1	0	1	0	0	0	0	0
794	I flew in over three hours ago, I've been in four different lines.	1	0	0	0	0	0	0	0
795	Nash.	0	0	0	0	0	0	0	0
796	Okay.	1	0	1	0	0	0	0	0
797	Yes.	1	0	1	0	0	0	0	0
798	Uh-huh.	0	0	0	0	0	1	0	0
799	Yeah. Yeah, I don't see- I don't see any--	1	0	1	0	0	0	0	0
800	I don't see any record of it, and I-usually when I don't see a record of it, that means um-	0	1	0	1	1	1	0	0
801	we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...	0	0	0	1	1	0	0	0
802	Oh, Are you kidding me?	1	0	0	0	0	0	1	1
803	for such an inconvenience and your bag, but	1	0	0	0	0	0	0	0
804	Is this a joke?	0	1	0	1	1	1	0	0
805	Yeah.	1	0	1	0	0	0	0	0
806	Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.	1	0	0	0	0	0	1	1
807	No, no.  This is real.	1	0	0	0	0	0	1	0
808	No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...	0	0	0	0	0	1	0	0
809	this is the only track record that we have and if it's not listed here then it's probably not anywhere.	0	1	0	1	1	1	0	0
810	Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.	0	1	0	0	1	1	0	0
811	I know.	0	0	0	0	0	0	0	0
812	We flew in from Paris.  I've been shopping for three weeks.	1	0	1	0	0	0	0	0
813	I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.	0	0	0	1	1	1	0	0
814	Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really	0	1	0	1	1	1	0	0
815	If you're- if you're- if you're looking for a lawsuit, baby, you've found it.	1	0	0	0	0	0	1	0
816	We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.	0	1	0	0	1	0	1	0
817	Oh-Oh.  It's a gift.  You're-You're helping me out here?	1	0	0	0	0	0	0	1
818	It's a gift.	1	0	0	0	0	0	0	0
819	You are cruising for a bruising.  You are in so much trouble.	0	0	0	1	1	1	1	0
820	With the amount of--	0	0	0	0	0	0	0	0
821	Who's in charge?  Who is the president of Jet Blue?	1	0	0	0	0	0	0	1
822	Um, actually, I don't know. I don't know. Oh really?	0	0	0	0	0	0	0	0
823	Yeah.	1	0	1	0	0	0	0	0
824	I don't want money, I want my clothes.	1	0	1	0	0	0	0	0
825	Right now all I can do is just give you this fifty dollars, I'm really sorry.	0	1	0	0	1	0	0	0
826	What's your name?	0	0	0	0	0	0	0	0
827	Oh.  My name is Sean. Hi.	0	0	0	0	0	0	0	0
828	Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.	1	0	0	0	0	0	1	0
829	I don't think you have done everything you could do because I don't have my bag here yet.	0	0	0	0	0	0	0	0
830	If you want, you can write a letter.  I can give you the address. Yes.  An angry--	0	0	0	0	0	1	0	0
831	A letter? I'll make a personal phone call.	0	0	0	0	0	0	0	0
832	Did you get the letter?	0	0	0	0	0	0	0	0
833	Yes.  There's a big envelope it says, you're in. I know.	1	0	0	0	0	0	1	0
834	So I have to move back to the ghetto but...I know.	1	0	0	0	0	0	1	0
835	Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.	1	0	0	0	0	0	1	0
836	I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.	0	1	0	0	1	0	1	0
837	Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?	1	0	0	0	0	0	1	0
838	Oh- I know, I know, I know, I know.	0	0	0	0	0	0	0	0
839	I don't know.  I spend so much time commuting as it is, I'd rather.	1	0	1	0	0	0	0	0
840	At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?	1	0	1	0	0	0	0	0
841	A rapper party ho. Yeah. Okay.	1	0	0	0	0	0	0	1
842	I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.	1	0	0	0	0	0	0	1
843	It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.	1	0	1	0	0	0	0	1
844	Yeah.  Big time.	1	0	0	0	0	0	1	1
845	Mmhmm. Mmhmm. Yay. So what major?  What are you doing?	1	0	0	0	0	0	0	1
846	Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.	1	0	0	0	0	0	1	0
847	Oh, okay.	1	0	1	0	0	0	0	0
848	Ooh. Fancy.	1	0	0	0	0	0	1	0
849	Yeah.  I'm not sure.	0	0	0	1	0	0	0	0
850	Umm...P.h.D. [LAUGHTER]	1	0	0	0	0	0	0	1
851	That's good.  Don't you have to like teach a class, too, when you do that?	1	0	0	0	0	0	1	0
852	Teacher. Mrs. Nash, I have a question.	1	0	1	0	0	0	0	0
853	So I get to mold young minds. Mrs.?  That's my mother.	1	0	0	0	0	0	0	1
854	I would be like- Oh. Right, right, right.	0	0	0	0	0	0	0	0
855	Mrs. Nash.  That's so awesome, though.	1	0	0	0	0	0	0	0
856	Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.	1	0	0	0	0	0	0	1
857	Yay...School's fun.	1	0	0	0	0	0	0	1
858	Of course, right.  That's where the real money is, being a student.	1	0	0	0	0	0	0	0
859	Yeah.  Totally. [LAUGHTER]	1	0	0	0	0	0	1	1
860	That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.	1	0	0	0	0	0	1	0
861	I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.	1	0	1	0	0	0	0	0
862	I'm sorry, Joy.	0	1	0	0	1	0	0	0
863	It's okay.	1	0	1	0	0	0	0	0
864	Is there anything I can get you?  Do you want me to take care of anything for you or...?	1	0	0	0	0	0	0	1
865	...pick up anything?	1	0	0	0	0	0	1	0
866	No.	0	0	0	0	0	0	0	0
867	You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.	1	0	0	0	0	0	1	0
868	That's sweet.	1	0	0	0	0	0	0	0
869	Thank you.	1	0	1	0	0	0	0	0
870	I went to see her headstone a week or two ago.	0	0	0	1	1	1	1	0
871	I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.	1	0	0	0	0	0	0	0
872	So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-	1	0	0	0	0	0	1	0
873	this woman came up and, you know, it was hers. It was her person that was there.	1	0	0	0	0	0	1	0
874	Oh.  She was there?	0	0	0	0	0	0	0	0
875	Yeah.  And she was like, that's pathetic, I hope you enjoy it.	1	0	0	0	0	0	0	1
876	And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.	1	0	0	0	0	0	0	0
877	I don't know.	0	0	0	0	0	0	0	0
878	At the cemetery?	0	1	0	1	1	1	0	0
879	Mmhmm.	0	0	0	0	0	0	0	0
880	couple hours.	0	0	0	0	0	0	0	0
881	Oh really?	0	0	0	0	0	0	0	0
882	It was hot.[LIPSMACK]	1	0	0	0	0	0	1	0
883	Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.	0	0	0	1	0	0	0	0
884	Oh, so they're like really old too, really old ones?	0	0	0	1	0	0	0	0
885	It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.	0	1	0	0	1	0	1	0
886	My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.	0	1	0	0	1	0	0	1
887	She used to have these poetry parties on Memorial Day.	1	0	0	0	0	0	1	1
888	Mmhmm.	0	0	0	0	0	0	0	0
889	Umm. Yeah.	1	0	0	0	0	0	1	0
890	And the last time before she died, I remember she couldn't really stand, umm...	1	0	0	0	0	0	1	0
891	But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.	1	0	0	0	0	0	0	1
892	Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-	0	0	0	1	1	0	1	0
893	So she wrote a lot of poetry?	1	0	0	0	0	0	1	0
894	There's another one, I can't remember.	0	1	0	0	1	0	0	0
895	I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?	0	1	0	1	1	1	0	0
896	Mmhmm.Mmhmm.Mmhmm.	0	0	0	0	0	0	0	0
897	I wonder.	1	0	0	0	0	0	1	0
898	Freda is the only one who knows we are here. She wouldn't ring up.	1	0	1	0	0	0	0	0
899	Must be them then.	0	0	0	0	0	0	0	0
900	What we're going to do?	0	0	0	0	0	0	0	0
901	We're okay, right darling?  Whatever happens, we're okay?	0	1	0	1	1	1	0	0
902	Now and always sweet.	1	0	0	0	0	0	0	0
903	I don't care then.	0	0	0	1	0	0	0	0
904	It had to happen sooner or later.	0	0	0	0	0	1	0	0
905	Yes... Hello?  Hello?  I'm sorry what's that?	0	1	0	0	1	0	0	0
906	No, it's a wrong number.	0	0	0	1	1	1	0	0
907	Oh, oh, that sent shivers on my spine.	0	0	0	0	1	0	0	1
908	[BREATHING] [LAUGHTER]	1	0	0	0	0	0	1	0
909	[BREATHING]	1	0	0	0	0	0	0	1
910	[BREATHING]	1	0	0	0	0	0	0	1
911	What shall we do if they suddenly walk in on us?	1	0	0	0	0	0	0	0
912	With perfect poise...	1	0	1	0	0	0	0	1
913	[LAUGHTER]	1	0	0	0	0	0	1	1
914	Ah...Strange...	0	0	0	1	0	0	0	0
915	Mmm...	0	0	0	0	0	0	0	0
916	The pity is that one can't stay happy.	0	1	0	0	0	0	0	0
917	It's true.  I think the whole things a very poor joke.	1	0	1	0	0	0	0	0
918	What, this sacred and beautiful thing, love?	1	0	1	0	0	0	0	0
919	Oh, yes meaning just that.	1	0	0	0	0	0	1	0
920	Oh, dear god what is that all mean, dear god?	1	0	1	0	0	0	1	0
921	[LAUGHTER] Don't laugh at me I'm being serious.	1	0	1	0	0	0	0	1
922	You mustn't be so serious, darling, it just what they want.	0	0	0	1	0	0	0	0
923	Flippancy brings out the acid in their darn sweetness and light.	0	1	0	1	1	1	0	0
924	Mmhmm If I must laugh at everything, I must laugh at us too.	0	0	0	1	0	1	0	0
925	Oh yes.  .	1	0	1	0	0	0	0	0
926	We are figures of fun all right	1	0	0	0	0	0	0	0
927	Shall we always want to bicker and fight?	0	0	0	1	0	1	0	0
928	No, that will fade...Along with our passion...	1	0	0	0	0	0	0	1
929	Oh, will we like that?	1	0	0	0	0	0	0	0
930	Well it depends on how well we've played.	1	0	0	0	0	0	0	0
931	does the one that's left still laugh?	1	0	0	0	0	0	0	0
932	Yes, yes with the all his might.	1	0	1	0	0	0	0	0
933	Ah so is everyone in the long run, huh?	1	0	0	0	0	0	1	0
934	Hmm.	0	1	0	1	1	1	0	0
935	Ah.	0	0	0	0	0	0	0	0
936	Come here darling, kiss me	1	0	1	0	0	0	1	0
937	before your body rots and worms pop out of your eye sockets.	0	0	0	1	1	0	1	0
938	See, you know I don't care what you do.  You could paint yourself green and run naked to the Place Vendome.	1	0	1	0	0	0	0	0
939	You could run off with all the men in a world. I won't say a word.  Just as long as you love me best.	1	0	0	0	0	0	1	0
940	The same applies to you too, except you so much as look at another women I'll kill you.	0	0	0	0	1	1	0	0
941	Do you remember that row we did have in Venice?	1	0	0	0	0	0	0	0
942	Which particular one?	0	0	0	0	0	0	0	0
943	The one when you put that little wooden painted snake in my bed?	1	0	0	0	0	0	0	0
944	Oh I know you threw it out the window and into the Grand Canal.  Oh, I'll never forgive you for that.	0	1	0	1	1	0	0	0
945	Of course how long did that row last?	1	0	0	0	0	0	1	0
946	But you know it wasn't as bad as the one we had in Cannes...mmhmm...where your curling irons burnt a hole in my dressing gown.	0	1	0	1	1	1	0	0
947	Cannes...mmhmm...	0	1	0	1	1	1	0	0
948	Oh it burnt my comb too and all those towels in the bathroom.	0	1	0	1	1	1	0	0
949	Oh that was a rouser wasn't it?	0	0	0	0	0	0	0	0
950	The manager came in he found us rolling about the floor.  [LAUGHTER]	1	0	0	0	0	0	0	1
951	I will never forget the look on his face.	1	0	0	0	0	0	0	0
952	Scratching and biting like panthers. [LAUGHTER] Oh...	0	1	0	1	1	1	0	0
953	oh...	0	0	0	0	0	0	0	0
954	Utterly, utterly ridiculous.	0	0	0	1	0	0	0	0
955	oh...[LAUGHTER]	1	0	0	0	0	0	1	1
956	We were very much younger then.	1	0	0	0	0	0	0	1
957	Very much sillier.	0	0	0	1	0	0	0	0
958	However, I do believe the real cause of that row was Peter Burden.	1	0	1	0	0	0	1	0
959	Oh you knew there was nothing in that.	0	0	0	1	0	0	0	0
960	The only one I know still love his parents.	1	0	0	0	0	0	0	0
961	Yeah, that kind of went out of style didn't it?	1	0	1	0	0	0	0	0
962	You know it's nice here, the air is sweet.	1	0	1	0	0	0	0	0
963	Why not?	0	0	0	0	0	0	0	0
964	For one thing your mother as much as told me to go.	0	0	0	0	0	0	0	0
965	[BREATHING] And then you've been kind of...	1	0	0	0	0	0	0	1
966	What?	0	0	0	0	0	0	0	0
967	You've been kind of embarrassed ever since I got here.	0	0	0	1	0	0	0	0
968	I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.	1	0	1	0	0	0	0	0
969	I knew they would, your mother anyway.	0	0	0	0	0	0	0	0
970	Yeah--	1	0	1	0	0	0	0	0
971	Well I guess that's why I came.	1	0	0	0	0	0	0	1
972	I love you a great deal.	1	0	0	0	0	0	1	0
973	I'm sorry I'm embarrassing you, aren't I?  See, I didn't want to do it here I didn't on this porch, with this ring--I didn't want to win you away from anything.	0	1	0	0	0	1	0	0
974	I've been ready a long, long time.	1	0	0	0	0	0	0	1
975	I almost got married two years ago.	1	0	0	0	0	0	1	0
976	Why didn't you?	0	0	0	0	0	0	0	0
977	You felt something that far back?	0	0	0	0	0	0	0	0
978	Everyday since.	0	0	0	0	0	0	0	0
979	why didn't you let me know?	0	0	0	0	0	0	0	0
980	Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.	1	0	0	0	0	0	0	1
981	I kissed you.  I kissed Annie.	1	0	0	0	0	0	1	0
982	I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.	1	0	0	0	0	0	1	0
983	I kissed you.	1	0	0	0	0	0	1	0
984	Chris, what's the matter?	0	0	0	0	0	0	0	0
985	I don't know.	0	0	0	0	0	0	0	0
986	Wouldn't work like this.	0	1	0	0	1	1	0	0
987	you know over seas I was in command of the company?	1	0	0	0	0	0	0	1
988	Pretty much all.	0	0	0	0	0	0	0	0
989	[BREATHING]. Geez.	0	0	0	0	0	1	0	0
990	Takes awhile to toss something like that off.  I mean they weren't just men, you know.	0	0	0	1	0	1	0	0
991	For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.	0	1	0	0	0	1	0	0
992	He just put it in my pocket that's the kind of guys I had.	1	0	0	0	0	0	1	1
993	They didn't die they killed themselves for each other and I mean that exactly, you know a little more selfish and they'll all be here today...	1	0	1	0	0	0	0	0
994	And I had this idea as I was watching them go down like everything was being destroyed, you know.  But I felt like this one new thing was being made, you know it's kind of like this.  This monument...	1	0	0	0	0	0	1	0
995	I thought I would change everything you know, and I got back here and it was- it was like nothing had changed at all...	1	0	0	0	0	0	1	0
